source_case,similar_case,similarity_score,method,citation_link,source_case_topic
62015CJ0112,62007CJ0331,0.37643964109823375,tfidf,0,public health
62015CJ0112,61997CJ0374,0.3616533090109141,tfidf,0,public health
62015CJ0112,62007CJ0309,0.3500198128684844,tfidf,0,public health
62015CJ0112,62001CJ0423,0.34381692250200474,tfidf,0,public health
62015CJ0112,61995CJ0027,0.31954748666565197,tfidf,0,public health
62015CJ0112,62000CJ0284,0.2862969487248539,tfidf,0,public health
62015CJ0112,62011CJ0636,0.28295705138500205,tfidf,0,public health
62015CJ0112,61994CJ0086,0.28111513866674176,tfidf,0,public health
62015CJ0112,61987CJ0018,0.2763877683190927,tfidf,0,public health
62015CJ0112,62002CJ0002,0.2741300935789442,tfidf,0,public health
62015CJ0112,61998CJ0214,0.2686067808479633,tfidf,0,public health
62015CJ0112,61991CJ0156,0.2574144977681712,tfidf,0,public health
62015CJ0112,61983CJ0001,0.25238251139903495,tfidf,0,public health
62015CJ0112,61976CJ0046,0.25206824817562196,tfidf,0,public health
62015CJ0112,61976CJ0048,0.24698289487267877,tfidf,0,public health
62015CJ0112,61989CJ0111,0.24487722489451177,tfidf,0,public health
62016CJ0519,62011CJ0636,0.49001304555376046,tfidf,0,public health
62016CJ0519,62009CJ0523,0.46633062977527207,tfidf,0,public health
62016CJ0519,62015CJ0112,0.45668885911613244,tfidf,0,public health
62016CJ0519,62007CJ0331,0.43983426368431033,tfidf,0,public health
62016CJ0519,62015CJ0282,0.3904267671483984,tfidf,0,public health
62016CJ0519,62003CJ0211,0.35536937441715777,tfidf,0,public health
62016CJ0519,62007CJ0383,0.35238029872644483,tfidf,0,public health
62016CJ0519,62009CJ0327,0.3458527487003579,tfidf,0,public health
62016CJ0519,62001CJ0236,0.3453815772963509,tfidf,0,public health
62016CJ0519,62013CJ0443,0.3401759903105348,tfidf,0,public health
62016CJ0519,62014CJ0448,0.3274267785147905,tfidf,0,public health
62016CJ0519,62004CJ0154,0.30299069995400174,tfidf,0,public health
62016CJ0519,61983CJ0109,0.2943375413198014,tfidf,0,public health
62016CJ0519,62012CJ0299,0.285374176625244,tfidf,0,public health
62016CJ0519,62016CJ0111,0.2820254932968147,tfidf,0,public health
62016CJ0519,62007CJ0270,0.26902074887089045,tfidf,0,public health
62016CJ0519,62005CJ0195,0.25645863555059534,tfidf,0,public health
62016CJ0519,62010CJ0382,0.2526111485440944,tfidf,0,public health
62016CJ0519,62015CJ0019,0.24525522829991356,tfidf,0,public health
62016CJ0519,62008CJ0446,0.23178609947766562,tfidf,0,public health
62015CJ0019,62012CJ0609,0.7212933918339433,tfidf,0,public health
62015CJ0019,62010CJ0544,0.6544925179034008,tfidf,0,public health
62015CJ0019,62012CJ0299,0.6308030706166043,tfidf,0,public health
62015CJ0019,62015CJ0177,0.5862144692776663,tfidf,0,public health
62015CJ0019,62013CJ0137,0.46668023331511715,tfidf,0,public health
62015CJ0019,62015CJ0282,0.40358200678431105,tfidf,0,public health
62015CJ0019,62004CJ0154,0.38087258882447605,tfidf,0,public health
62015CJ0019,62011CJ0636,0.3727721551051385,tfidf,0,public health
